,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UPPER A,Bloque 4,,Fecha,,22/9/2025,,Fecha,,29/9/2025,,Fecha,,6/10/2025,,Fecha,,14/10/2025,,Fecha,,20/10/2025,,Fecha,,27/10/2025,
,,Elevaciones Laterales,2,35,12,0,10,40,6,0,10,40,8,0,8,40,8,0,9,40,8,0,9,35,11,0,10
,,,,35,11,0,10,35,12,1,10,35,12,0,10,,,,,35,12,0,10,36,9,0,10
,,,,30,11,0,10,35,9,0,10,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fondos,2,20,8,0,10,25,4,0,10,25,3,,,20,8,0,10,20,8,0,10,0,12,0,10
,,,,0,8,0,10,20,6,0,10,,,,,0,10,0,10,,,,,0,8,0,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bíceps En Polea,2,110,10,0,10,125,10,0,10,,,,,125,9,0,10,140,9,0,10,,,,
,,,,110,10,0,10,110,8,0,10,,,,,110,8,0,10,125,9,0,10,,,,
,,,,100,8,0,10,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tríceps En Polea Unilteral,3,50,13,0,10,67,6,0,9,,,,,50,12,0,10,67,8,0,10,,,,
,,,,50,11,0,10,50,10,0,9,,,,,50,8,0,10,50,12,0,10,,,,
,,,,,,,,50,9,0,9,,,,,,,,,50,8,0,10,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Carga de Trabajo,,6,,,,6,,,,---,,,,6,,,,6,,,,,,,
,,Tiempo en Minutos,,90,,,,90,,,,,,,,60,,,,50,,,,,,,
,,Carga Total,15,540,,,,540,,,,,,,,360,,,,300,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LOWER A,Bloque 4,,Fecha,,23/9/2025,,Fecha,,30/9/2025,,Fecha,,7/10/2025,,Fecha,,15/10/2025,,Fecha,,21/10/2025,,Fecha,,28/10/2025,
,,,,Nivel Energía,,81,,Nivel Energía,,73,,Nivel Energía,,77,,Nivel Energía,,88,,Nivel Energía,,85,,Nivel Energía,,85,
,,EJERCICIOS,SETS,PESO ,REPS,RIR,TÉCNICA,PESO ,REPS,RIR,TÉCNICA,PESO ,REPS,RIR,TÉCNICA,PESO ,REPS,RIR,TÉCNICA,PESO ,REPS,RIR,TÉCNICA,PESO ,REPS,RIR,TÉCNICA
,,Extensiones Posteriores Unilateral,2,150,10,1,10,150,7,0,10,150,9,1,10,150,6,0,9,110,15,1,10,130,9,1,10
,,,,130,10,1,10,130,11,0,10,150,6,0,10,130,7,0,10,110,15,0,10,130,8,1,10
,,,,110,11,1,10,130,9,0,10,,,,,,,,,,,,,,,,
,,,,110,12,0,10,,,,,,,,,,,,,,,,,,,,
,,Sentadilla Con Barra,2,100,7,1,10,105,6,0,10,110,5,1,10,112,6,1,10,80,11,1,10,90,8,1,10
,,,,100,6,1,10,100,8,0,10,105,8,0,10,110,6,0,10,80,10,0,10,80,11,0,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hiperxtensiones,2,55,12,1,10,65,12,1,10,70,10,0,9,75,8,0,10,75,12,0,10,80,9,0,10
,,,,55,12,1,10,65,8,1,10,70,8,0,10,75,8,0,10,75,10,0,10,80,8,0,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pantorrilla Parado,2,220,8,0,10,225,8,0,10,235,8,0,10,235,9,0,10,250,8,0,10,255,8,0,10
,,,,215,8,0,9,220,10,0,10,,,,,230,8,0,10,250,7,0,10,250,7,0,10
,,,,210,7,0,10,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Extensiones De Cuádriceps,1,300,8,1,10,305,9,0,10,305,10,0,10,305,11,0,10,305,12,0,10,305,12,0,10
,,,,290,8,0,10,300,8,0,10,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Curl Femoral,1,145,9,0,9,150,5,0,9,150,8,0,9,140,12,0,10,145,8,0,9,58,9,0,10
,,,,140,8,0,9,140,10,0,9,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Aductores,2,,,,,205,10,0,9,205,10,0,10,205,11,0,10,205,10,0,10,205,9,1,10
,,,,,,,,195,10,0,9,205,8,0,10,205,7,0,10,205,8,0,10,205,8,0,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Abdomen En Polea,3,,,,,0,12,0,10,100,11,0,9,95,10,1,8,100,11,0,10,25,,,
,,,,,,,,0,12,0,10,115,10,0,9,80,10,1,9,100,8,0,10,25,,,
,,,,,,,,0,12,0,10,100,7,0,10,65,8,0,9,85,10,0,10,25,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Carga de Trabajo,,7,,,,8,,,,7,,,,6,,,,6,,,,7,,,
,,Tiempo en Minutos,,80,,,,70,,,,60,,,,50,,,,50,,,,50,,,
,,Carga Total,15,560,,,,560,,,,420,,,,300,,,,300,,,,350,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UPPER B,Bloque 4,,Fecha,,25/9/2025,,Fecha,,9/10/2025,,Fecha,,,,Fecha,,17/10/2025,,Fecha,,23/10/2025,,Fecha,,30/10/2025,
,,,,Nivel Energía,,92,,Nivel Energía,,73,,Nivel Energía,,,,Nivel Energía,,81,,Nivel Energía,,92,,Nivel Energía,,100,
,,EJERCICIOS,SETS,PESO ,REPS,RIR,TÉCNICA,PESO ,REPS,RIR,TÉCNICA,PESO ,REPS,RIR,TÉCNICA,PESO ,REPS,RIR,TÉCNICA,PESO ,REPS,RIR,TÉCNICA,PESO ,REPS,RIR,TÉCNICA
,,Press Inclinado En Máquina,2,100,6,0,10,110,6,0,10,110,3,0,10,100,6,0,10,100,7,1,10,,,,
,,,,90,9,0,10,,,,,90,7,0,10,90,7,0,10,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Remo Abierto,2,75,7,0,9,210,9,0,10,180,10,0,10,210,8,0,10,215,9,0,10,,,,
,,,,68,7,0,9,180,9,0,10,150,9,0,10,180,9,0,10,185,8,0,10,,,,
,,,,61,8,0,9,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pec Dec,1,150,12,0,9,55,11,0,10,50,13,0,10,60,10,0,10,60,11,0,10,,,,
,,,,150,9,0,9,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Jalón Cerrado,1,180,9,0,9,195,8,0,10,180,8,0,10,180,8,0,10,195,6,0,9,,,,
,,,,170,8,0,9,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Press Militar En Máquina,2,70,6,0,10,70,8,0,10,65,10,0,10,70,7,0,10,70,6,0,10,,,,
,,,,65,7,0,10,70,6,0,10,65,7,0,10,65,7,0,10,55,9,1,10,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fondos,1,22.5,6,0,10,25,4,0,10,0,8,0,10,0,8,1,10,0,9,0,10,,,,
,,,,0,9,0,10,,,,,0,6,0,10,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bíceps Inclinado,2,50,9,0,10,67,6,0,9,35,8,0,10,67,7,0,10,25,8,0,10,,,,
,,,,65,7,0,10,50,12,0,0,35,8,0,10,50,12,0,10,20,11,0,10,,,,
,,,,65,6,0,10,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tríceps Polea Alta,3,75,13,2,8,85,14,0,10,90,12,0,10,105,14,0,10,110,12,0,10,,,,
,,,,95,8,0,10,105,10,0,10,90,10,0,10,85,8,0,10,110,10,0,10,,,,
,,,,75,9,0,10,,,,,90,10,0,10,85,9,0,10,,,,,,,,
,,,,75,9,0,10,,,,,,,,,,,,,,,,,,,,
,,Carga de Trabajo,,6,,,,6,,,,5,,,,6,,,,,,,,,,,
,,Tiempo en Minutos,,100,,,,60,,,,60,,,,50,,,,,,,,,,,
,,Carga Total,14,600,,,,360,,,,300,,,,300,,,,0,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LOWER B,Bloque 4,,Fecha,,3/10/2025,,Fecha,,24/10/2025,,Fecha,,,,Fecha,,,,Fecha,,,,Fecha,,,
,,,,Nivel Energía,,85,,Nivel Energía,,96,,Nivel Energía,,,,Nivel Energía,,,,Nivel Energía,,,,Nivel Energía,,,
,,EJERCICIOS,SETS,PESO ,REPS,RIR,TÉCNICA,PESO ,REPS,RIR,TÉCNICA,PESO ,REPS,RIR,TÉCNICA,PESO ,REPS,RIR,TÉCNICA,PESO ,REPS,RIR,TÉCNICA,PESO ,REPS,RIR,TÉCNICA
,,Extensiones Posteriores Unilateral,3,175,7,0,9,130,11,1,10,,,,,,,,,,,,,,,,
,,,,145,10,0,9,130,9,1,10,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hip-Trust,2,100,8,2,9,122,7,0,10,,,,,,,,,,,,,,,,
,,,,100,7,2,10,122,6,0,10,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hiperxtensiones,2,95,8,0,10,80,8,0,10,,,,,,,,,,,,,,,,
,,,,95,10,0,10,80,8,0,10,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sentadilla Hack,2,275,10,0,10,250,8,0,10,,,,,,,,,,,,,,,,
,,,,275,8,0,10,250,7,0,10,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Extensiones De Cuádriceps,1,250,8,0,10,205,9,0,10,,,,,,,,,,,,,,,,
,,,,250,7,0,10,,,,,,,,,,,,,,,,,,,,
,,,,250,6,0,10,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Femoral Acostado,1,54,9,0,10,58,10,0,10,,,,,,,,,,,,,,,,
,,,,54,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Aductores,2,,,,,205,11,0,10,,,,,,,,,,,,,,,,
,,,,,,,,205,9,0,10,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Abdomen En Polea,3,,,,,30,7,0,10,,,,,,,,,,,,,,,,
,,,,,,,,20,8,0,10,,,,,,,,,,,,,,,,
,,,,,,,,20,7,0,10,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Carga de Trabajo,,5,,,,6,,,,,,,,,,,,,,,,,,,
,,Tiempo en Minutos,,60,,,,50,,,,,,,,,,,,,,,,,,,
,,Carga Total,16,300,,,,300,,,,0,,,,0,,,,0,,,,0,,,
