,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bíceps Inclinado,2,0,6 - 8,,,35,7,0,10,35,8,0,10,,,,,,,,,,,,,,,,NOTA GENERAL,,,,,
,,,,,,,,30,8,0,10,35,8,0,9,,,,,,,,,,,,,,,,3 a 5 minutos de caminata al empezar para calentar.,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Series Totales,12,Carga de Trabajo,,,,7,,,,7,,,,,,,,,,,,,,,,,,,,,,,,
,,Tiempo en Minutos,,,,,,60,,,,60,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LOWER A,Martes,,,,,,Fecha,,10/2/2026,,Fecha,,17/2/2026,,Fecha,,,,Fecha,,,,Fecha,,,,,,,,,,,,
,,,,,,,,Nivel Energía,,77,,Nivel Energía,,96,,Nivel Energía,,,,Nivel Energía,,,,Nivel Energía,,,,,,,,,,,,
,,EJERCICIOS,SETS,RIR,REPS,NOTAS,,PESO ,REPS,RIR,TÉCNICA,PESO ,REPS,RIR,TÉCNICA,PESO ,REPS,RIR,TÉCNICA,PESO ,REPS,RIR,TÉCNICA,PESO ,REPS,RIR,TÉCNICA,,,,,,,,,
,,Sentadilla Lowbar,3,2,6 - 8,Topset 4 - 6 RIR 1,,115,5,1,10,115,6,1,10,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,110,6,2,10,110,7,1,10,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,105,7,1,10,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hombro Posterior,2,0,12 - 15,,,110,11,0,10,110,12,0,10,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,90,12,0,10,90,14,0,10,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Peso Muerto Rumano,1,2,6 - 8,,,115,6,2,10,120,6,1,10,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,110,7,2,10,115,6,0,10,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laterales,2,0,12 - 15,,,30,12,0,10,30,15,0,10,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,20,13,0,10,30,12,0,10,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Extensiones De Cuádriceps,2,1,10 - 12,Unilateral,,135,10,0,10,135,12,0,10,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,130,10,0,10,130,10,0,10,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Curl Femoral Acostado,2,0,6 - 8,,,90,8,0,10,95,7,0,10,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,90,6,0,10,90,8,0,10,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,80,7,0,10,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Series Totales,12,Carga de Trabajo,,,,7,,,,8,,,,,,,,,,,,,,,,,,,,,,,,
,,Tiempo en Minutos,,,,,,60,,,,60,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UPPER B,Jueves,,,,,,Fecha,,12/2/2026,,Fecha,,19/2/2026,,Fecha,,,,Fecha,,,,Fecha,,,,,,,,,,,,
,,,,,,,,Nivel Energía,,92,,Nivel Energía,,81,,Nivel Energía,,,,Nivel Energía,,,,Nivel Energía,,,,,,,,,,,,
,,EJERCICIOS,SETS,RIR,REPS,NOTAS,,PESO ,REPS,RIR,TÉCNICA,PESO ,REPS,RIR,TÉCNICA,PESO ,REPS,RIR,TÉCNICA,PESO ,REPS,RIR,TÉCNICA,PESO ,REPS,RIR,TÉCNICA,,,,,,,,,
,,Dominadas,2,1,6 - 8,Supinas,,25,6,0,10,25,5,0,10,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,8,1,10,0,6,1,10,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,6,0,10,0,6,0,10,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Press Inclinado,2,2,6 - 8,Topset 4 - 6 RIR 1,,80,6,0,10,80,6,1,10,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,75,7,1,10,70,9,0,10,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Remo Con Barra,1,2,6 - 8,,,75,6,1,9,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,70,9,1,10,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fondos,3,1,6 - 8,,,35,6,1,10,25,7,0,10,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,25,8,1,10,25,7,0,10,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,25,7,0,10,0,9,0,10,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bíceps Con Barra Z,2,1,6 - 8,,,80,8,0,10,80,8,0,10,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,80,6,0,10,80,6,0,10,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,70,8,0,10,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tríceps Katana Polea,2,0,6 - 8,,,50,6,0,10,25,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,40,7,0,10,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,30,8,0,10,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Series Totales,12,Carga de Trabajo,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tiempo en Minutos,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LOWER B,Viernes ,,,,,,Fecha,,13/2/2026,,Fecha,,,,Fecha,,,,Fecha,,,,Fecha,,,,,,,,,,,,
,,,,,,,,Nivel Energía,,77,,Nivel Energía,,,,Nivel Energía,,,,Nivel Energía,,,,Nivel Energía,,,,,,,,,,,,
,,EJERCICIOS,SETS,RIR,REPS,NOTAS,,PESO ,REPS,RIR,TÉCNICA,PESO ,REPS,RIR,TÉCNICA,PESO ,REPS,RIR,TÉCNICA,PESO ,REPS,RIR,TÉCNICA,PESO ,REPS,RIR,TÉCNICA,,,,,,,,,
,,Sentadilla Highbar,3,2,6 - 8,Topset 4 - 6 RIR 1,,105,5,2,10,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,100,7,2,10,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,100,6,2,10,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hombro Posterior,2,0,12 - 15,Inclinados ,,90,14,0,10,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,90,13,0,10,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Peso Muerto Rumano,1,2,6 - 8,,,115,7,2,10,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,110,7,1,10,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laterales,2,0,12 - 15,Altura Pecho,,30,14,0,10,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,30,12,0,10,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Extensiones De Cuádriceps,2,1,10 - 12,Unilateral,,135,12,0,10,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,130,10,0,10,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Curl Femoral Sentado,2,0,6 - 8,,,170,6,0,9,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,160,7,0,10,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,140,7,0,10,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Series Totales,12,Carga de Trabajo,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tiempo en Minutos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
