,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UPPER A,Lunes,,,,,,Fecha,,5/1/2025,,Fecha,,12/1/2026,,Fecha,,19/1/2026,,Fecha,,26/1/2026,,,Fecha,,,,,,,,,Nivel de Energía,,,,
,UPPER B,Jueves,,,,,,Fecha,,8/1/2026,,Fecha,,,,Fecha,,22/1/2026,,Fecha,,29/1/2026,,,Fecha,,5/2/2026,,,,,,,,,,,
,,,,,,,,Nivel Energía,,100,,Nivel Energía,,,,Nivel Energía,,88,,Nivel Energía,,100,,,Nivel Energía,,96,,,,,,,,,,,
,,EJERCICIOS,SETS,RIR,REPS,NOTAS,,PESO ,REPS,RIR,TÉCNICA,PESO ,REPS,RIR,TÉCNIC,PESO ,REPS,RIR,TÉCNICA,PESO ,REPS,RIR,,TÉCNICA,PESO ,REPS,RIR,TÉCNICA,,,,,,,,,,
,,Dominadas,3,1,6 - 8,,,10,4,1,10,,,,,25,4,1,10,25,4,1,,10,25,6,0,10,,,,,,,,,,
,,,,,,,,0,6,1,10,,,,,0,7,1,10,0,7,1,,10,0,8,0,10,,,,,,,,,,
,,,,,,,,0,5,0,10,,,,,0,6,0,10,0,7,0,,10,0,7,0,10,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Press Con Pausa,3,2,6 - 8,Topset 4 - 6 RIR 1,,87,6,1,10,,,,,90,3,0,10,90,5,0,,10,,,,,,,,,,,,,,
,,,,,,,,80,7,2,10,,,,,80,7,1,10,80,7,2,,10,,,,,,,,,,,,,,
,,,,,,,,77,6,2,10,,,,,77,7,1,10,77,7,1,,10,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Remo Con Barra,2,2,6 - 8,Topset 4 - 6 RIR 1,,75,6,0,10,,,,,75,7,1,10,75,7,1,,10,75,7,0,10,,,,,,,,,,
,,,,,,,,70,8,0,10,,,,,72,6,0,10,72,7,0,,10,70,9,0,10,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pec Dec,2,0,6 - 8,"Estirar Pecho, No Usar Bíceps ",,210,7,0,10,,,,,210,8,0,10,215,7,0,,10,,,,,,,,,,,,,,
,,,,,,,,200,6,0,10,,,,,200,7,1,10,210,7,0,,10,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Triceps En Polea Alta Con Barra,2,1,6 - 8,,,90,6,0,10,,,,,90,6,0,10,90,7,0,,10,,,,,,,,,,,,,,
,,,,,,,,85,6,0,10,,,,,85,7,0,10,85,8,0,,10,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bíceps Inclinado Con Mancuerna,3,0,6 - 8,,,110,8,0,10,,,,,120,4,0,10,110,5,0,,10,110,8,0,10,,,,,,,,,,
,,,,,,,,110,5,0,10,,,,,90,7,0,10,90,8,0,,10,90,8,0,10,,,,,,,,,,
,,,,,,,,90,7,0,10,,,,,70,8,0,10,90,6,0,,10,90,6,0,10,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tríceps Katana Polea,2,1,6 - 8,,,25,6,0,10,,,,,25,7,0,10,25,8,0,,10,,,,,,,,,,,,,,
,,,,,,,,20,8,0,10,,,,,22,8,0,10,25,6,0,,10,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Series Totales,17,Carga de Trabajo,,,,6,,,,,,,,6,,,,6,,,,,,,,,,,,,,,,,,
,,Tiempo en Minutos,,,,,,90,,,,,,,,120,,,,80,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LOWER B,Viernes ,,,,,,Fecha,,9/1/2026,,Fecha,,16/1/2026,,Fecha,,,,Fecha,,30/1/2026,,,Fecha,,6/2/2026,,,,,,,,,,,
,,,,,,,,Nivel Energía,,96,,Nivel Energía,,85,,Nivel Energía,,,,Nivel Energía,,90,,,Nivel Energía,,92,,,,,,,,,,,
,,EJERCICIOS,SETS,RIR,REPS,NOTAS,,PESO ,REPS,RIR,TÉCNICA,PESO ,REPS,RIR,TÉCNICA,PESO ,REPS,RIR,TÉCNICA,PESO ,REPS,RIR,,TÉCNICA,PESO ,REPS,RIR,TÉCNICA,,,,,,,,,,
,,Sentadilla Highbar,3,2,6 - 8,Topset 4 - 6 RIR 1,,95,6,2,10,100,5,1,10,,,,,100,6,1,,10,100,8,1,10,,,,,,,,,,
,,,,,,,,90,7,2,10,95,6,2,10,,,,,95,7,2,,10,100,6,1,10,,,,,,,,,,
,,,,,,,,90,6,1,10,90,6,1,10,,,,,90,7,2,,10,94,6,2,10,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laterales En Polea,2,0,12 - 15,Inclinados ,,15,15,0,9,,,,,,,,,17,12,0,,10,17,13,0,10,,,,,,,,,,
,,,,,,,,15,12,0,9,,,,,,,,,15,12,0,,der primero,15,12,0,10,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hipextensión,2,1,8 - 10,,,40,12,1,10,112,6,2,10,,,,,112,7,2,,10,120,5,2,10,,,,,,,,,,
,,,,,,,,40,10,1,10,110,6,2,10,,,,,110,8,2,,10,115,7,2,10,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hombro Posterior En Polea,2,0,12 - 15,Altura Pecho,,50,15,1,FacePull,,,,,,,,,20,12,0,,10,20,12,0,10,,,,,,,,,,
,,,,,,,,50,14,0,FacePull,,,,,,,,,15,15,0,,10,15,12,0,10,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Extensiones De Cuádriceps,2,1,10 - 12,Unilateral,,80,10,1,Discos,130,11,1,10,,,,,130,11,0,,10,135,10,0,10,,,,,,,,,,
,,,,,,,,70,9,0,Discos,110,11,0,10,,,,,110,12,0,,10,130,10,0,10,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Curl Femoral Acostado,3,0,6 - 8,,,150,9,1,10,170,6,0,9,,,,,170,8,0,,10,170,9,0,10,,,,,,,,,,
,,,,,,,,150,7,0,10,150,8,0,10,,,,,170,6,0,,10,170,6,0,10,,,,,,,,,,
,,,,,,,,150,6,0,9,150,8,0,10,,,,,150,8,0,,10,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Aductores,3,0,10 - 12,,,290,12,1,10,290,12,1,10,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,290,10,1,10,290,11,1,10,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,290,8,1,10,290,8,0,10,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Series Totales,17,Carga de Trabajo,,,,6,,,,5,,,,,,,,6,,,,,6,,,,,,,,,,,,,
,,Tiempo en Minutos,,,,,,90,,,,90,,,,,,,,100,,,,,100,,,,,,,,,,,,,
